SKU,Cost,Price,Qty
6614,8,37,2
6984,13,63,10
8669,16,88,6
2661,3,24,1
5249,17,23,7
4242,18,92,5
1026,5,93,4
1266,11,36,9
8711,3,56,10
8391,12,88,1
7325,12,63,3
4658,14,51,10
5749,6,29,7
1006,4,74,4
8195,5,96,10
4248,14,27,3
8858,2,70,6
6974,4,46,1
1149,18,92,9
4161,10,49,7
8797,17,55,10
5454,15,82,6
1852,1,64,1
9834,13,71,6
6511,8,38,10
3534,7,73,8
7008,9,58,3
2534,10,76,4
9429,10,53,7
1019,19,41,3
9514,19,54,9
3513,9,85,2
6380,9,33,4
4584,7,61,7
9596,11,28,5
1771,18,34,3
1011,18,95,9
7770,13,78,2
6593,12,50,6
7369,3,48,9
5132,3,25,3
4422,19,23,1
7887,1,68,3
9858,15,27,8
4956,8,64,3
7329,10,68,3
5923,15,81,9
4087,14,65,2
9799,15,32,4
9166,18,96,9
5750,20,49,9
9783,5,77,10
9456,19,79,2
5466,2,48,2
9790,2,47,8
3995,11,89,4
8418,1,38,9
9004,2,40,8
8589,14,55,8
7206,1,44,4
6488,4,79,7
2252,12,34,4
6171,13,64,2
8989,3,68,6
8540,13,38,7
4583,20,86,4
4931,17,64,4
9649,20,99,9
5786,15,86,2
9456,9,38,10
3797,19,64,1
7541,20,33,8
3002,19,94,6
1611,2,77,7
8890,19,34,7
2550,8,41,1
1267,7,36,8
1330,9,57,10
6535,3,95,4
6109,17,95,9
8833,6,88,5
9934,19,38,3
5430,5,69,6
3159,2,89,7
9154,9,90,1
9542,20,70,2
1998,8,79,9
8691,17,74,4
6613,14,79,9
3236,19,56,6
6792,16,86,6
3326,16,74,2
2270,20,60,9
8410,1,68,6
9599,1,60,9
7875,4,32,9
3524,18,88,6
1838,18,81,7
4063,7,72,8
3782,9,92,3
