SKU,Cost,Price,Qty,Other
7800,5,40,4,developer
3003,10,50,9,police officer
9642,19,81,9,police officer
3499,16,63,4,developer
7141,10,58,8,developer
3116,14,64,10,worker
3727,20,96,1,firefighter
9403,14,45,9,developer
2027,18,74,3,police officer
6086,6,81,8,developer
8215,18,58,2,worker
5763,2,70,2,worker
6477,16,79,5,firefighter
4182,16,89,7,developer
2197,1,70,2,doctor
1002,5,37,10,doctor
2262,20,31,8,police officer
5750,14,60,10,developer
1716,6,92,3,developer
9253,3,41,9,firefighter
2784,3,40,2,doctor
1307,12,26,4,developer
3981,17,85,1,developer
9548,12,77,3,police officer
2683,19,32,5,developer
1397,15,40,7,firefighter
3667,20,76,1,doctor
1274,4,59,1,doctor
8251,18,23,9,doctor
3471,9,68,5,firefighter
2809,11,56,5,doctor
1530,2,98,10,firefighter
6666,9,57,8,firefighter
2715,3,81,5,police officer
9391,7,70,6,doctor
9586,14,46,6,worker
8323,12,54,7,worker
6619,3,94,6,firefighter
7159,19,28,3,firefighter
8580,10,45,10,police officer
6550,4,72,7,firefighter
5556,7,87,3,developer
6793,6,42,6,developer
6552,5,37,9,developer
1738,18,45,9,worker
4467,11,98,10,firefighter
2860,5,45,3,worker
8785,20,35,9,developer
2637,14,37,1,doctor
1807,7,26,1,developer
5550,4,60,9,worker
2067,2,41,7,developer
8125,5,69,4,worker
1636,12,39,5,developer
9240,13,53,3,police officer
6425,13,90,9,firefighter
1279,6,63,5,doctor
3253,15,20,8,doctor
5269,6,37,7,worker
6197,6,82,4,worker
4391,15,54,9,firefighter
1747,20,22,5,worker
7807,5,72,8,firefighter
9971,8,66,2,police officer
6390,6,88,5,police officer
9445,13,84,9,developer
1301,16,59,4,worker
8824,10,38,6,firefighter
6158,18,59,3,firefighter
5415,7,49,7,firefighter
1669,18,41,3,developer
3591,17,90,4,developer
4375,4,85,1,firefighter
6811,19,71,2,firefighter
6759,12,70,5,worker
2727,7,82,4,developer
2211,14,92,1,police officer
2575,9,25,4,worker
8241,13,37,9,worker
3526,9,51,10,police officer
8579,9,48,8,developer
8923,3,81,4,police officer
2069,17,59,6,doctor
4217,14,32,8,police officer
5750,4,85,7,developer
9496,15,23,1,firefighter
6684,7,41,7,firefighter
5633,15,33,5,worker
3716,4,23,10,police officer
8247,13,63,7,doctor
4918,12,56,6,firefighter
7252,15,22,9,doctor
1548,16,21,5,doctor
6110,12,62,5,doctor
8607,5,78,4,developer
6980,10,26,2,doctor
2484,2,52,1,police officer
2407,14,62,1,worker
7609,9,35,6,worker
3783,11,30,6,worker
