SKU,Cost,Profit Margin,QTY
9929,19,70,81
6042,10,1,40
9018,13,15,26
6350,6,28,15
8886,10,64,45
1721,1,66,36
2053,6,44,16
9267,3,37,77
8342,4,77,24
5443,17,26,27
5488,8,27,81
9796,6,35,31
1340,8,25,7
10041,15,10,61
5822,10,58,64
5545,2,44,44
1512,6,50,66
6370,19,35,61
772,18,40,24
9420,1,75,22
7466,19,54,36
3060,13,32,40
8513,20,15,3
5876,1,34,84
5380,1,2,87
1256,19,7,6
9461,8,15,59
393,12,73,34
4536,19,43,98
126,16,32,4
3764,9,56,85
6513,1,55,81
1962,3,17,67
7590,19,43,47
6713,10,33,83
7590,4,72,18
9682,7,34,57
5681,10,11,41
10069,6,5,24
3168,19,36,14
5825,12,40,10
391,2,27,55
10247,12,56,54
1984,6,5,2
3513,1,13,49
7942,20,11,22
1464,17,26,81
5013,3,23,33
3152,17,66,85
3872,6,5,35
2301,11,72,75
9485,20,74,99
9156,12,60,58
3783,14,69,16
8772,19,45,48
1135,17,15,46
9825,20,38,85
3008,9,79,50
8693,7,51,87
1942,1,63,7
1750,17,36,55
8519,17,24,79
460,7,20,51
4058,7,49,79
1447,10,18,28
1907,12,52,65
8547,18,58,43
10340,14,42,85
2911,16,47,29
8965,19,3,64
1653,12,4,99
2650,13,12,6
2484,3,35,71
3078,17,75,11
6227,11,35,89
1260,10,19,72
749,18,76,35
8006,17,34,26
5020,15,72,46
7233,15,18,22
5173,3,30,41
3914,19,63,18
3583,1,52,67
4291,4,44,69
879,9,51,14
10336,17,45,81
2945,8,79,35
2251,11,60,61
4802,13,47,54
6234,15,14,21
2932,1,33,44
105,13,15,86
7583,4,16,49
9493,16,60,79
5633,19,29,54
2275,14,8,86
5193,8,9,48
1500,17,9,31
9042,15,26,95
4321,1,16,26
9584,11,3,96
3836,13,3,12
116,10,12,5
8917,12,18,57
1344,5,20,58
5958,1,6,87
7606,18,72,25
8564,9,28,58
6233,14,13,86
2324,15,46,77
924,16,29,29
953,12,52,52
2962,19,15,39
7916,5,32,46
3777,5,5,15
6527,15,25,3
7664,5,56,28
6149,5,45,87
4447,13,58,5
7108,14,67,82
8986,6,29,81
8677,19,9,49
2615,19,8,28
3589,2,55,95
7780,13,53,37
1546,7,48,23
4122,13,5,6
880,9,76,40
6581,16,32,27
2801,10,35,75
6555,19,44,6
7206,2,70,14
4211,17,24,84
8539,4,38,68
6539,5,34,42
1943,6,5,7
8944,6,72,56
3510,14,52,65
4097,19,35,75
400,1,21,98
3643,6,51,87
8601,10,55,21
9561,5,29,60
9430,12,74,87
5361,4,6,21
4802,19,68,45
